beta  ances 
0.243 0.374
0.239 0.371
0.239 0.379
0.236 0.372
0.233 0.372
0.231 0.378
0.229 0.380
0.229 0.382
0.230 0.383
0.229 0.382
0.229 0.386
0.227 0.384
0.227 0.385
0.227 0.386
0.228 0.385
0.228 0.385
0.228 0.385
0.228 0.386
0.229 0.387
0.229 0.387
0.230 0.386
0.231 0.387
0.232 0.387
0.231 0.387
0.232 0.386
0.231 0.386
0.231 0.387
0.231 0.386
0.231 0.386
0.231 0.386
0.231 0.386
0.231 0.386
0.232 0.387
0.232 0.386
0.232 0.386
0.232 0.386
0.232 0.386
0.232 0.386
0.233 0.386
0.233 0.386
0.233 0.385
0.232 0.385
0.232 0.385
0.233 0.385
0.233 0.385
0.233 0.385
0.233 0.385
0.233 0.385
0.233 0.385
